incident_id,cloud_provider,region,service,service_subtype,start_time,end_time,duration_minutes,severity,status,root_cause_category,root_cause_description,number_of_customers_affected,estimated_revenue_loss_usd,sla_violation,region_impact_score,service_impact_score,ticket_count,ticket_response_time_minutes,ticket_resolution_time_minutes,monitoring_alerts_triggered,detection_method,mitigation_action,number_of_engineers_involved,engineer_response_time_minutes,communication_channels_used,public_status_page_updated,status_page_update_count,user_feedback_score,post_mortem_completed,post_mortem_link,is_recurrent_issue,previous_incident_id,external_factors,scheduled_maintenance_conflict,patch_applied,system_load_before_outage,system_load_after_outage,backup_system_triggered,notes
aeb380d2-6559-4d99-abfb-17e1c45e831b,AWS,europe-west2,Storage,S3,2025-06-30 10:18:08.524480,2025-06-30 13:15:08.524480,177,Low,Monitoring,Software,Simulated cause for ML,45023,882914.3,Yes,2,8,68,35,234,16,Customer Report,Rollback,8,5,Email,Yes,1,2,Yes,,No,,None,No,No,40,46,Yes,Simulated note
ddf7e3a0-f44d-4c94-ae32-189213321e2d,IBM,asia-southeast1,AI/ML,RDS,2025-06-28 10:18:08.524591,2025-06-28 20:52:08.524591,634,Low,Investigating,Security,Simulated cause for ML,29036,589281.21,Yes,20,42,7,26,309,6,Customer Report,Rollback,6,53,SMS,No,2,5,Yes,,No,,Weather,Yes,No,45,55,Yes,Simulated note
b17b9c80-94a0-4ca5-b52f-f1e7853b1240,AWS,europe-west2,Storage,S3,2025-06-01 10:18:08.524638,2025-06-01 14:36:08.524638,258,High,Resolved,Hardware,Simulated cause for ML,86689,130626.3,No,3,23,29,12,457,6,Alert,Scale Up,6,49,PagerDuty,No,3,1,Yes,,No,,DDoS,No,Yes,61,74,No,Simulated note
c856b404-e22e-4f84-8bed-9b1512adc9b5,AWS,asia-southeast1,Compute,Lambda,2025-11-30 10:18:08.524678,2025-11-30 19:21:08.524678,543,Medium,Resolved,Human Error,Simulated cause for ML,94893,472354.34,No,88,0,59,54,399,12,Automated Monitoring,Rollback,2,27,Slack,Yes,5,3,Yes,,Yes,,Weather,No,Yes,48,97,Yes,Simulated note
42a85996-663a-4f92-94e1-0f205a06db01,IBM,asia-southeast1,AI/ML,Cloud Functions,2025-02-16 10:18:08.524719,2025-02-16 21:03:08.524719,645,Medium,Monitoring,Security,Simulated cause for ML,41905,312065.35,No,47,54,33,36,110,14,Alert,Scale Up,8,21,Email,No,1,1,No,,No,,DDoS,No,No,23,75,Yes,Simulated note
cc27ddaf-1511-4714-864f-133d6e946189,Oracle,asia-southeast1,Storage,Lambda,2025-04-14 10:18:08.524774,2025-04-14 19:20:08.524774,542,High,Resolved,Hardware,Simulated cause for ML,14584,441187.8,Yes,52,100,56,54,234,4,Customer Report,Patch,3,36,Email,Yes,0,1,Yes,,Yes,,Weather,Yes,No,93,82,Yes,Simulated note
5b0cae72-670c-47a5-b95f-a479f18e85e8,IBM,us-west-2,Compute,BigQuery,2025-03-04 10:18:08.524804,2025-03-04 17:31:08.524804,433,Critical,Investigating,Human Error,Simulated cause for ML,35728,816365.67,No,55,62,15,29,56,7,Customer Report,Rollback,6,35,Slack,Yes,3,4,No,,No,,Vendor,No,No,78,15,Yes,Simulated note
eeab6d5c-123a-4d04-890c-542a7c4f31d1,IBM,us-west-2,AI/ML,Cloud Functions,2025-07-08 10:18:08.524843,2025-07-08 14:53:08.524843,275,High,Investigating,Security,Simulated cause for ML,26033,165336.77,Yes,77,87,63,6,249,15,Alert,Patch,3,22,Slack,Yes,0,5,Yes,,Yes,,DDoS,Yes,Yes,93,29,No,Simulated note
f5d0ef44-604f-4a1d-8206-ae003eb9a75a,GCP,asia-southeast1,Storage,Lambda,2025-04-24 10:18:08.524876,2025-04-24 20:47:08.524876,629,Medium,Resolved,Hardware,Simulated cause for ML,59884,240933.45,No,84,14,47,55,179,19,Alert,Restart,7,54,Email,Yes,4,5,Yes,,No,,DDoS,No,No,47,88,Yes,Simulated note
357abdce-e35e-4312-a379-7a210768239d,IBM,asia-southeast1,Database,Cloud Functions,2026-02-03 10:18:08.524916,2026-02-03 12:27:08.524916,129,Medium,Resolved,Hardware,Simulated cause for ML,72323,155932.93,No,65,56,79,16,443,12,Alert,Restart,1,59,PagerDuty,Yes,2,4,Yes,,Yes,,Vendor,Yes,Yes,87,100,Yes,Simulated note
06e5a599-80a8-4d5e-8309-6c74a84f1291,GCP,asia-southeast1,Storage,VPC,2025-07-17 10:18:08.524952,2025-07-17 21:20:08.524952,662,Medium,Resolved,Unknown,Simulated cause for ML,19955,74084.41,No,90,92,80,60,242,16,Alert,Rollback,2,35,SMS,Yes,2,3,No,,No,,DDoS,Yes,Yes,29,91,Yes,Simulated note
abbc3c34-279e-4505-acd4-4c50dc3addd0,Azure,us-west-2,Database,S3,2025-06-09 10:18:08.524990,2025-06-09 20:38:08.524990,620,High,Resolved,Unknown,Simulated cause for ML,47194,214520.92,Yes,82,30,82,58,277,13,Customer Report,Restart,6,36,SMS,Yes,0,5,No,,Yes,,DDoS,No,Yes,30,15,Yes,Simulated note
7bf4eed6-9b85-4886-9b34-e751b9bf5ee5,IBM,us-west-2,Networking,Cloud Functions,2026-01-05 10:18:08.525037,2026-01-05 13:21:08.525037,183,Medium,Investigating,Network,Simulated cause for ML,82463,9299.89,No,79,16,3,50,153,14,Alert,Restart,2,16,PagerDuty,No,5,4,No,,No,,DDoS,Yes,No,71,28,Yes,Simulated note
81751630-185f-432e-a19e-14ccd2d9b98c,Oracle,asia-southeast1,AI/ML,RDS,2025-04-03 10:18:08.525079,2025-04-03 12:42:08.525079,144,Low,Investigating,Hardware,Simulated cause for ML,78294,703018.49,Yes,7,5,78,55,298,11,Automated Monitoring,Patch,3,45,Slack,No,3,4,No,,Yes,,Weather,Yes,Yes,31,99,Yes,Simulated note
